model,class,value
model_1,five,0.7470887147999153
model_2,five,0.8863010798221469
model_3,five,0.6159220834215541
model_1,four,0.42014846235418873
model_2,four,0.0
model_3,four,0.4576882290562036
model_1,one,0.6285684625765597
model_2,one,0.9936676009550504
model_3,one,0.6207827260458839
model_1,reset,0.6203762418093426
model_2,reset,0.0
model_3,reset,0.435003170577045
model_1,rock,0.4099854982390719
model_2,rock,0.0
model_3,rock,0.28278433809819764
model_1,synth,0.8108684070324986
model_2,synth,0.4052566151660451
model_3,synth,0.846386077073344
model_1,three,0.3285590277777778
model_2,three,0.0
model_3,three,0.4029947916666667
model_1,thumbs_up,0.6122492530943235
model_2,thumbs_up,0.0002134016218523261
model_3,thumbs_up,0.3839095177123346
model_1,two,0.7073509015256588
model_2,two,0.8761335751627014
model_3,two,0.6247732849674598
